1975;109;Shampoo;Comedy;69
1985;111;Power;Drama;43
1965;122;Darling;Drama;44
1963;120;Ugly American, The;Drama;63
1931;68;Ambassador Bill;Comedy;66
1931;110;Big Trail, The;Western;22
1967;111;Hombre;Western;50
1968;103;Coogan's Bluff;Action;57
1989;91;Penn & Teller Get Killed;Comedy;12
1987;118;Shy People;Drama;7
1980;91;It's My Turn;Comedy;0
1988;119;Dangerous Liaisons;Drama;77
1990;111;Reversal of Fortune;Drama;73
1991;119;Meeting Venus;Comedy;74
1946;105;Tomorrow Is Forever;Drama;65
1987;101;Like Father Like Son;Comedy;20
1948;81;Rope;Drama;39
1962;91;Road to Hong Kong;Comedy;37
1989;108;Shirley Valentine;Comedy;51
1992;135;City of Joy;Drama;87
1966;99;Appaloosa, The;Western;15
1986;88;Seven Minutes in Heaven;Comedy;49
1991;96;Hearts of Darkness, A Filmmaker's Apocalypse;Drama;72
1961;66;Tonight for Sure;Comedy;4
1990;110;White Hunter, Black Heart;Adventure;66
1962;110;Sundays & Cybele;Drama;11
1989;90;Puppet Master;Science Fiction;20
1991;95;Night Gallery;Horror;31
1989;103;Pet Sematary;Horror;27
1992;60;America's Music, Gospel;Music;13
1977;123;Slap Shot;Comedy;82
1987;109;O. C. & Stiggs;Comedy;3
1988;108;A Fish Called Wanda;Comedy;7
1954;96;A Lesson in Love;Comedy;48
1957;82;Brink of Life;Drama;57
1986;120;Betty Blue;Drama;71
1979;122;Hair;Music;67
1989;97;National Lampoon's Christmas Vacation;Comedy;81
1974;124;Dersu Uzala, (The Hunter);Adventure;81
1990;106;Alice;Comedy;22
1980;90;Fifth Floor, The;Mystery;74
1990;94;Snow Kill;Drama;35
1971;74;People, The;Drama;36
1969;128;True Grit;Western;77
1942;18;Battle of Midway, The;War;75
1948;103;Three Godfathers;Western;72
1965;133;Hush, Hush, Sweet Charlotte;Mystery;68
1946;110;A Stolen Life;Drama;20
1939;96;Old Maid, The;Drama;18
1950;138;All about Eve;Drama;23
1986;96;Fly, The;Horror;33
1990;89;Quick Change;Comedy;24
1988;93;Lair of the White Worm, The;Horror;16
1989;104;Rainbow, The;Drama;53
1956;120;Man Who Knew Too Much, The;Mystery;15
1992;90;Beauty & the Beast;Science Fiction;14
1940;120;Foreign Correspondent;Mystery;61
1949;115;Heiress, The;Drama;81
1986;120;Boy Who Could Fly, The;Drama;25
1975;89;Terrorists, The;Action;4
1942;85;Wheel of Fortune;Drama;36
1989;120;Do the Right Thing;Drama;5
1990;93;Court-Martial of Jackie Robinson, The;Drama;33
1967;90;Elvira Madigan;Drama;28
1992;86;Hurricane Smith;Action;16
1987;86;Fair Game;Action;24
1989;95;Rape of the Sabines, The;Action;83
1983;99;Risky Business;Comedy;28
1980;103;I Love All of You (Je Vous Aime);Drama;40
1986;108;Love Songs;Drama;15
1983;114;Le Choix des Armes;Mystery;15
1981;135;Choice of Arms;Action;87
1977;107;March or Die;War;59
1980;135;Last Metro, The;Drama;66
1986;120;Jean de Florette;Drama;87
1989;127;Fat Man & Little Boy;Drama;86
1990;125;Wild at Heart;Drama;6
1989;113;Family Business;Action;5
1988;103;Stand & Deliver;Drama;19
1981;94;Looker;Science Fiction;62
1989;89;Fire & Rain;Action;10
1990;56;Best of Candid Camera, The;Comedy;12
1940;83;Seven Sinners;Drama;24
1961;190;Judgment at Nuremberg;Drama;39
1989;60;Minsky's Follies;Comedy;12
1990;97;Novice, The;Comedy;72
1987;130;Wings of Desire;Drama;71
1991;158;Until the End of the World;Drama;57
1987;118;Castaway;Drama;41
1993;30;Alfred Hitchcock Presents, Sorcerer's Apprentice;Mystery;60
1991;99;Delicatessen;Comedy;78
1979;110;Great Train Robbery, The;Mystery;7
1991;110;Hanover Street;Drama;81
1991;102;Hunchback;Drama;33
1946;97;My Darling Clementine;Western;12
1950;86;Wagon Master;Western;30
1949;93;She Wore a Yellow Ribbon;Western;84
1985;90;Fantasy Man;Comedy;82
1986;87;Monster in the Closet;Comedy;39
1992;85;Double Edge;Drama;69
1976;116;Network;Comedy;48
1974;131;Chinatown;Drama;55
1975;117;Three Days of the Condor;Drama;87
1977;134;Voyage of the Damned;Drama;34
1987;97;Barfly;Drama;23
1990;104;Wait Until Spring, Bandini;Drama;20
1947;118;Life with Father;Comedy;10
1974;117;Stavisky;Drama;1
1981;117;Time Bandits;Comedy;5
1980;144;Shining, The;Horror;32
1945;91;Flame of Barbary Coast;Western;54
1993;92;Naked Truth, The;Comedy;34
1979;92;Brood, The;Horror;51
1970;123;Molly Maguires, The;Action;3
1984;105;Beverly Hills Cop;Comedy;41
1991;86;Blind Man's Bluff;Mystery;64
1961;140;La Dolce Vita;Drama;20
1966;103;After the Fox;Comedy;60
1974;127;Man with the Golden Gun, The;Action;41
1985;96;Marbella;Action;45
1967;103;Bobo, The;Comedy;80
1993;53;Big Bands, The;Music;48
1992;97;Killer Image.;Mystery;8
1987;94;Kandyland;Drama;41
1987;94;Campus Man;Drama;38
1956;101;Jubal;Drama;32
1985;84;Purple Rose of Cairo, The;Comedy;20
1984;85;Broadway Danny Rose;Comedy;14
1992;108;Husbands & Wives;Comedy;80
1986;103;Hannah & Her Sisters;Comedy;8
1979;115;Hurricane;Action;8
1986;95;Between Two Women;Drama;52
1981;96;Cannonball Run, The;Comedy;80
1936;70;Doughnuts & Society;Comedy;28
1978;450;Holocaust;Drama;1
1990;103;Meridian;Science Fiction;47
1992;90;Diary of a Hitman;Drama;67
1988;95;Gor;Action;2
1987;95;Surrender;Comedy;84
1984;112;Places in the Heart;Drama;83
1991;106;Not Without My Daughter;Drama;55
1977;113;Heroes;Drama;17
1981;116;Absence of Malice;Drama;76
1979;110;Norma Rae;Drama;64
1989;118;Steel Magnolias;Drama;66
1989;101;Burbs, The;Comedy;42
1980;124;Empire Strikes Back, The;Science Fiction;33
1977;121;Star Wars;Science Fiction;44
